driver_id,trip_number,start_node,goal_node,route_taken,total_trip_time,total_distance,average_speed,average_stress
Base_24,6,D,A,DA,18.0,150.0,30.56,0.36
Base_48,6,F,H,FH,15.0,158.11,39.0,0.1773
Base_59,5,E,B,EF->FG->GB,45.0,457.65,37.56,0.2098
Base_69,7,C,J,CJ,21.0,150.0,25.95,0.4752
Base_79,4,J,G,JC->CB->BG,47.0,458.11,37.77,0.2285
Base_38,4,J,D,JD,26.0,180.28,25.77,0.48
Base_1,5,G,I,GF->FE->EI,57.0,457.65,29.65,0.4032
Base_45,4,F,B,FG->GB,29.0,299.54,37.76,0.2131
Base_62,5,F,D,FH->HC->CJ->JD,73.0,600.19,33.7,0.3058
Base_66,6,C,E,CH->HF->FE,55.0,428.03,34.45,0.2938
Base_76,6,G,I,GF->FE->EI,58.0,457.65,29.74,0.4003
Base_7,7,J,H,JC->CH,23.0,261.8,43.26,0.1113
Base_15,7,J,B,JC->CB,25.0,300.0,45.6,0.0624
Base_19,5,C,F,CH->HF,36.0,269.92,35.28,0.2911
Base_26,6,I,H,IH,12.0,158.11,50.0,0.0
Base_40,5,F,J,FH->HC->CJ,43.0,419.92,37.67,0.2437
Base_36,4,G,A,GB->BA,29.0,316.23,40.17,0.1683
Base_67,5,B,H,BH,12.0,141.42,45.0,0.08
Base_5,5,I,G,IH->HB->BG,48.0,457.65,39.38,0.2075
Base_22,7,I,E,IE,12.0,158.11,50.0,0.0
Base_65,7,E,I,EI,23.0,158.11,25.91,0.4764
Base_35,4,D,C,DJ->JC,32.0,330.28,39.38,0.1769
Base_46,6,E,D,EI->IJ->JD,55.0,496.51,33.0,0.3196
Base_16,5,C,A,CB->BA,25.0,308.11,47.6,0.0312
Base_21,7,A,G,AB->BG,54.0,316.23,25.59,0.4847
Base_27,7,A,B,AB,27.0,158.11,25.43,0.4887
Base_56,6,J,A,JD->DA,57.0,330.28,26.74,0.4548
Base_58,9,H,B,HB,12.0,141.42,42.5,0.11
Base_63,5,I,D,IJ->JD,72.0,338.39,36.81,0.2392
Base_64,4,A,I,AB->BH->HI,59.0,457.65,35.85,0.2638
Base_61,5,E,J,EI->IJ,34.0,316.23,34.26,0.3018
Base_20,7,C,I,CH->HI,21.0,269.92,48.81,0.0143
Base_33,2,D,G,DA->AB->BG,62.0,466.23,31.05,0.37
Base_69,8,J,I,JI,12.0,158.11,49.17,0.01
Base_11,4,A,J,AD->DJ,26.0,330.28,47.5,0.03
Base_31,6,J,H,JC->CH,27.0,261.8,36.67,0.2274
Base_72,5,E,I,EI,27.0,158.11,25.43,0.4887
Base_19,6,F,G,FG,11.0,141.42,50.0,0.0
Base_52,5,G,C,GB->BC,29.0,308.11,38.62,0.2028
Base_0,7,H,D,HC->CJ->JD,85.0,442.08,34.65,0.2925
Base_7,8,H,B,HB,12.0,141.42,45.0,0.075
Base_39,5,F,A,FH->HB->BA,39.0,457.65,43.85,0.0903
Base_40,6,J,I,JI,12.0,158.11,49.58,0.005
Base_79,5,G,B,GB,16.0,158.11,35.94,0.25
